comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell
C0822,This is completely fake! Stop spreading negative rumors immediately!,4,10.42,0.908,32.2,1
C0823,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,12,15.61,1.0,48.29,1
C0824,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",26,15.67,0.601,41.3,1
C0825,Unbelievable development! Best leader of all time! Truly visionary leadership!,44,14.92,0.676,41.96,1
C0826,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,42,6.73,0.834,16.76,1
C0827,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,57,10.86,0.546,28.67,1
C0828,Follow my account for free premium tips and tricks. Guaranteed success!,19,14.13,0.671,45.11,1
C0829,Follow my account for free premium tips and tricks. Guaranteed success!,24,9.82,0.696,29.01,1
C0830,This is completely fake! Stop spreading negative rumors immediately! #JOINNOW,2,12.31,0.822,38.49,1
C0831,"Honestly, I think the movie was slightly overrated, but the acting was top tier. haha",804,1.36,0.0,17.29,0
C0832,Just finished reading this book. Highly recommend it to everyone.,730,0.73,0.194,8.33,0
C0833,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,11,19.61,0.829,53.81,1
C0834,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,34,12.61,0.844,35.27,1
C0835,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,11,14.61,0.663,44.61,1
C0836,"This recipe looks delicious, definitely trying it out this Sunday!",1493,0.85,0.025,2.15,0
C0837,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,5,14.83,0.828,43.76,1
C0838,"I don't agree with your opinion, but I appreciate the respectful debate here. ...",713,0.24,0.238,15.61,0
C0839,That match last night was insane! What a finish in the last minute.,433,0.91,0.267,12.67,0
C0840,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 👍",831,0.67,0.064,12.15,0
C0841,Don't listen to this fake news! The truth is hidden by mainstream media!,24,17.67,0.609,43.81,1
C0842,Struggling with coding errors all day... need a break lol.,561,0.42,0.088,11.84,0
C0843,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,23,13.1,0.953,37.61,1
C0844,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,12,8.73,0.604,29.84,1
C0845,"I'm not sure if this is correct, but let's see how it goes. 😊",1256,0.26,0.11,7.42,0
C0846,Unbelievable development! Best leader of all time! Truly visionary leadership!,26,13.31,0.932,40.16,1
C0847,"Haha that is so funny, thanks for making my day! 👍",1012,0.61,0.326,12.0,0
C0848,Struggling with coding errors all day... need a break lol.,327,0.63,0.359,6.93,0
C0849,Boycott this movie! It hurts community sentiments! #BoycottTrending,57,10.82,0.771,36.86,1
C0850,Unbelievable development! Best leader of all time! Truly visionary leadership!,24,9.43,0.824,24.66,1
C0851,This person is a traitor! Stop spreading lies about our great country!,24,14.63,0.648,46.29,1
C0852,"This recipe looks delicious, definitely trying it out this Sunday!",792,0.25,0.042,16.18,0
C0853,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #MUSTWATCH,50,12.96,0.991,36.62,1
C0854,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,14,9.92,1.0,30.9,1
C0855,"I'm not sure if this is correct, but let's see how it goes. 👍",431,0.05,0.231,10.13,0
C0856,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,44,11.38,0.677,34.94,1
C0857,That match last night was insane! What a finish in the last minute.,414,0.99,0.122,19.95,0
C0858,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,16,12.87,0.683,36.11,1
C0859,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,2,13.35,0.809,31.89,1
C0860,"I don't agree with your opinion, but I appreciate the respectful debate here.",983,0.21,0.035,3.56,0
C0861,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,4,11.15,0.915,37.43,1
C0862,This channel is biased and spreading fake propaganda. Ban them! #MUSTWATCH,18,7.53,0.737,23.46,1
C0863,"I don't agree with your opinion, but I appreciate the respectful debate here.",960,0.54,0.142,6.02,0
C0864,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,28,4.81,0.979,13.12,1
C0865,Struggling with coding errors all day... need a break lol.,655,0.16,0.114,7.8,0
C0866,The customer service was really helpful and sorted my issue in 5 minutes.,1070,0.52,0.082,16.98,0
C0867,"This recipe looks delicious, definitely trying it out this Sunday!",901,0.05,0.242,12.92,0
C0868,Struggling with coding errors all day... need a break lol.,1356,0.54,0.071,10.98,0
C0869,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",11,15.22,0.791,42.27,1
C0870,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,18,8.97,0.821,30.13,1
C0871,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,3,13.27,1.0,36.81,1
C0872,What a great performance by the team. Very happy with the result.,996,0.67,0.17,11.51,0
C0873,This person is a traitor! Stop spreading lies about our great country! #ALERT,4,14.24,0.702,40.1,1
C0874,Boycott this movie! It hurts community sentiments! #BoycottTrending,22,10.03,0.882,29.35,1
C0875,"I'm not sure if this is correct, but let's see how it goes. haha",711,1.11,0.083,9.98,0
C0876,That match last night was insane! What a finish in the last minute.,1596,0.25,0.095,11.26,0
C0877,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #JOINNOW",28,11.06,0.897,30.37,1
C0878,Follow my account for free premium tips and tricks. Guaranteed success!,2,6.2,0.851,21.65,1
C0879,That match last night was insane! What a finish in the last minute. haha,89,0.82,0.175,18.92,0
C0880,"I'm not sure if this is correct, but let's see how it goes. !!",977,0.83,0.197,18.73,0
C0881,Does anyone know if the local train is running on schedule today?,1008,0.47,0.377,16.45,0
C0882,That match last night was insane! What a finish in the last minute. 😊,1029,0.12,0.021,13.46,0
C0883,Don't listen to this fake news! The truth is hidden by mainstream media!,2,17.6,0.867,44.27,1
C0884,"This recipe looks delicious, definitely trying it out this Sunday! 😊",852,0.32,0.173,5.92,0
C0885,Beautiful weather today. Going out for a cup of coffee. !!,715,0.34,0.095,9.31,0
C0886,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,16,11.46,0.5,39.01,1
C0887,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",15,11.21,0.823,30.09,1
C0888,"I'm not sure if this is correct, but let's see how it goes.",803,0.54,0.077,17.07,0
C0889,Follow my account for free premium tips and tricks. Guaranteed success!,25,12.71,0.821,31.51,1
C0890,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",635,0.54,0.105,10.91,0
C0891,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,6,5.45,0.814,19.28,1
C0892,Can someone explain how to solve the 3rd question in the ML assignment? ...,852,0.4,0.049,8.05,0
C0893,That match last night was insane! What a finish in the last minute. 👍,840,0.17,0.327,1.0,0
C0894,Beautiful weather today. Going out for a cup of coffee.,670,0.53,0.201,7.42,0
C0895,Earn passive income easily. Sign up using code BOT999. Real cash!,15,16.54,0.761,44.96,1
C0896,Boycott this movie! It hurts community sentiments! #BoycottTrending,6,14.48,0.925,36.69,1
C0897,Unbelievable development! Best leader of all time! Truly visionary leadership!,77,22.58,0.778,56.53,1
C0898,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,13,14.01,0.758,37.89,1
C0899,Follow my account for free premium tips and tricks. Guaranteed success! #JOINNOW,16,14.38,0.839,39.97,1
C0900,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,6,9.61,0.929,27.06,1
C0901,What a great performance by the team. Very happy with the result. 😊,1439,0.86,0.178,13.7,0
C0902,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,2,13.13,0.705,39.0,1
C0903,"I'm not sure if this is correct, but let's see how it goes.",1311,0.05,0.2,1.0,0
C0904,Does anyone know if the local train is running on schedule today? ...,413,0.99,0.092,6.13,0
C0905,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,34,2.0,0.737,11.73,1
C0906,The customer service was really helpful and sorted my issue in 5 minutes. haha,106,0.15,0.176,24.85,0
C0907,I absolutely love this new update! The UI looks clean and crisp.,256,0.08,0.184,18.02,0
C0908,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,25,9.5,0.906,24.27,1
C0909,"This recipe looks delicious, definitely trying it out this Sunday!",1350,0.59,0.219,19.33,0
C0910,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,21,10.41,0.727,35.4,1
C0911,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #ALERT",22,6.1,0.579,19.05,1
C0912,Just finished reading this book. Highly recommend it to everyone.,1056,0.54,0.139,5.5,0
C0913,"I don't agree with your opinion, but I appreciate the respectful debate here.",893,0.27,0.0,17.97,0
C0914,I absolutely love this new update! The UI looks clean and crisp.,1183,0.52,0.173,17.37,0
C0915,This is completely fake! Stop spreading negative rumors immediately! #MUSTWATCH,67,17.01,0.847,48.85,1
C0916,Unbelievable development! Best leader of all time! Truly visionary leadership!,74,10.25,0.648,27.79,1
C0917,I absolutely love this new update! The UI looks clean and crisp.,467,0.31,0.068,6.67,0
C0918,Can someone explain how to solve the 3rd question in the ML assignment?,1649,0.9,0.342,5.89,0
C0919,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,3,6.04,0.811,17.79,1
C0920,Earn passive income easily. Sign up using code BOT999. Real cash!,51,5.75,0.928,18.64,1
C0921,This is completely fake! Stop spreading negative rumors immediately!,81,11.57,0.92,35.58,1
C0922,Beautiful weather today. Going out for a cup of coffee.,1101,0.64,0.17,15.25,0
C0923,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",654,0.42,0.195,9.63,0
C0924,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",59,10.54,1.0,28.4,1
C0925,Just finished reading this book. Highly recommend it to everyone. 👍,1112,0.26,0.072,17.41,0
C0926,Struggling with coding errors all day... need a break lol.,260,0.38,0.153,12.56,0
C0927,"This recipe looks delicious, definitely trying it out this Sunday!",728,0.62,0.219,15.67,0
C0928,Just finished reading this book. Highly recommend it to everyone. ...,405,0.41,0.269,16.47,0
C0929,Earn passive income easily. Sign up using code BOT999. Real cash!,26,12.09,0.625,31.86,1
C0930,Can someone explain how to solve the 3rd question in the ML assignment? !!,88,0.89,0.226,9.49,0
C0931,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,10,6.33,0.872,18.42,1
C0932,Beautiful weather today. Going out for a cup of coffee.,705,0.72,0.192,13.33,0
C0933,Beautiful weather today. Going out for a cup of coffee.,664,0.61,0.138,14.29,0
C0934,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,13,11.91,0.713,33.25,1
C0935,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,12,10.18,0.831,30.49,1
C0936,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1113,0.37,0.191,14.75,0
C0937,"I'm not sure if this is correct, but let's see how it goes. 👍",977,0.25,0.165,13.82,0
C0938,This person is a traitor! Stop spreading lies about our great country!,13,20.88,0.801,53.41,1
C0939,Unbelievable development! Best leader of all time! Truly visionary leadership!,12,12.12,0.845,35.64,1
C0940,"I don't agree with your opinion, but I appreciate the respectful debate here. 👍",1277,0.12,0.223,14.95,0
C0941,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,88,15.27,0.749,39.98,1
C0942,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,41,9.11,0.663,28.19,1
C0943,I absolutely love this new update! The UI looks clean and crisp.,774,0.52,0.157,11.25,0
C0944,That match last night was insane! What a finish in the last minute.,1276,0.47,0.038,10.03,0
C0945,"I'm not sure if this is correct, but let's see how it goes.",871,0.87,0.21,7.75,0
C0946,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,22,8.56,1.0,26.44,1
C0947,This is completely fake! Stop spreading negative rumors immediately!,38,13.51,0.946,40.05,1
C0948,That match last night was insane! What a finish in the last minute.,1148,0.41,0.093,13.66,0
C0949,Struggling with coding errors all day... need a break lol. 👍,1173,0.43,0.257,19.26,0
C0950,This person is a traitor! Stop spreading lies about our great country!,10,15.99,0.712,41.41,1
C0951,That match last night was insane! What a finish in the last minute.,678,0.51,0.124,11.7,0
C0952,I absolutely love this new update! The UI looks clean and crisp.,888,0.09,0.025,1.0,0
C0953,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,64,15.77,1.0,48.15,1
C0954,That match last night was insane! What a finish in the last minute.,727,0.47,0.25,20.52,0
C0955,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",144,0.05,0.088,14.91,0
C0956,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",998,0.82,0.03,1.0,0
C0957,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,9,12.34,0.998,38.09,1
C0958,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",164,5.31,0.895,9.71,1
C0959,This is completely fake! Stop spreading negative rumors immediately! #MUSTWATCH,13,6.36,0.751,21.69,1
C0960,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,6,14.72,0.839,42.0,1
C0961,That match last night was insane! What a finish in the last minute. !!,401,0.45,0.0,12.89,0
C0962,"This recipe looks delicious, definitely trying it out this Sunday!",1371,0.06,0.091,13.65,0
C0963,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,2,11.57,0.746,32.1,1
C0964,"I don't agree with your opinion, but I appreciate the respectful debate here.",1237,1.07,0.089,17.69,0
C0965,"Haha that is so funny, thanks for making my day!",811,0.44,0.3,11.95,0
C0966,Beautiful weather today. Going out for a cup of coffee. 😊,918,0.57,0.0,13.44,0
C0967,What a great performance by the team. Very happy with the result. 👍,574,0.07,0.098,9.37,0
C0968,"This recipe looks delicious, definitely trying it out this Sunday!",1211,0.18,0.071,13.18,0
C0969,Can someone explain how to solve the 3rd question in the ML assignment? 😊,269,0.3,0.0,16.6,0
C0970,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,71,10.79,0.551,28.17,1
C0971,This channel is biased and spreading fake propaganda. Ban them! #ALERT,4,7.77,0.673,21.46,1
C0972,The customer service was really helpful and sorted my issue in 5 minutes.,603,0.38,0.179,7.54,0
C0973,Can someone explain how to solve the 3rd question in the ML assignment?,927,0.65,0.103,7.98,0
C0974,Does anyone know if the local train is running on schedule today?,834,0.44,0.172,19.85,0
C0975,Earn passive income easily. Sign up using code BOT999. Real cash!,82,12.27,0.78,32.21,1
C0976,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,11,8.59,0.624,28.72,1
C0977,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,6,3.07,0.693,13.92,1
C0978,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #JOINNOW,12,17.78,0.802,51.22,1
C0979,"This recipe looks delicious, definitely trying it out this Sunday!",1320,0.55,0.03,10.9,0
C0980,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,17,9.03,0.754,26.35,1
C0981,Can someone explain how to solve the 3rd question in the ML assignment?,640,0.14,0.11,13.35,0
C0982,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,120,17.26,0.732,45.74,1
C0983,Unbelievable development! Best leader of all time! Truly visionary leadership! #MUSTWATCH,7,6.1,0.942,21.34,1
C0984,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #ALERT,3,7.0,0.667,18.14,1
C0985,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,5,17.28,0.949,49.09,1
C0986,Does anyone know if the local train is running on schedule today?,412,0.41,0.089,8.45,0
C0987,Can someone explain how to solve the 3rd question in the ML assignment? 😊,1191,0.09,0.311,16.14,0
C0988,"Haha that is so funny, thanks for making my day!",1236,0.36,0.135,4.83,0
C0989,This is completely fake! Stop spreading negative rumors immediately! #ALERT,49,10.69,0.896,25.95,1
C0990,The customer service was really helpful and sorted my issue in 5 minutes.,1258,0.54,0.092,8.98,0
C0991,Just finished reading this book. Highly recommend it to everyone. 😊,246,0.34,0.124,6.69,0
C0992,Does anyone know if the local train is running on schedule today?,781,0.64,0.129,15.31,0
C0993,Beautiful weather today. Going out for a cup of coffee.,477,0.8,0.162,19.73,0
C0994,This channel is biased and spreading fake propaganda. Ban them! #JOINNOW,7,21.66,0.668,54.37,1
C0995,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,43,13.52,0.784,38.5,1
C0996,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 👍",1403,0.43,0.0,15.72,0
C0997,Can someone explain how to solve the 3rd question in the ML assignment?,466,0.46,0.229,13.49,0
C0998,Boycott this movie! It hurts community sentiments! #BoycottTrending,18,11.59,0.536,32.59,1
C0999,Struggling with coding errors all day... need a break lol.,857,0.75,0.219,14.91,0
C1000,"This recipe looks delicious, definitely trying it out this Sunday!",480,0.05,0.111,17.01,0
C1001,Earn passive income easily. Sign up using code BOT999. Real cash!,48,12.64,0.869,36.55,1
C1002,"I'm not sure if this is correct, but let's see how it goes.",1048,0.4,0.259,11.38,0
C1003,Beautiful weather today. Going out for a cup of coffee. haha,572,0.33,0.344,8.29,0
C1004,"Honestly, I think the movie was slightly overrated, but the acting was top tier. haha",1316,0.16,0.199,13.49,0
C1005,Follow my account for free premium tips and tricks. Guaranteed success!,7,18.48,0.921,48.32,1
C1006,Don't listen to this fake news! The truth is hidden by mainstream media! #MUSTWATCH,20,8.46,0.5,25.33,1
C1007,Does anyone know if the local train is running on schedule today? !!,1179,0.2,0.235,6.82,0
C1008,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",741,0.73,0.031,12.91,0
C1009,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1285,0.64,0.078,19.59,0
C1010,Can someone explain how to solve the 3rd question in the ML assignment?,1063,0.05,0.236,9.14,0
C1011,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #JOINNOW,69,12.79,0.758,31.21,1
C1012,The customer service was really helpful and sorted my issue in 5 minutes.,951,0.87,0.09,1.0,0
C1013,I absolutely love this new update! The UI looks clean and crisp. 👍,635,0.77,0.204,14.14,0
C1014,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,7,7.17,0.77,23.52,1
C1015,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,31,19.35,0.73,49.99,1
C1016,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,2,14.52,0.575,42.43,1
C1017,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,18,15.52,0.806,45.21,1
C1018,Does anyone know if the local train is running on schedule today?,556,0.61,0.181,2.55,0
C1019,"I don't agree with your opinion, but I appreciate the respectful debate here.",1606,0.89,0.11,6.49,0
C1020,That match last night was insane! What a finish in the last minute.,939,0.53,0.186,12.96,0
C1021,I absolutely love this new update! The UI looks clean and crisp.,1002,0.93,0.207,6.75,0
C1022,Just finished reading this book. Highly recommend it to everyone.,1345,0.99,0.465,6.38,0
C1023,This channel is biased and spreading fake propaganda. Ban them!,13,6.35,0.811,18.66,1
C1024,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1002,0.46,0.067,8.2,0
C1025,Does anyone know if the local train is running on schedule today?,1572,0.63,0.0,14.75,0
C1026,Just finished reading this book. Highly recommend it to everyone. !!,722,0.5,0.232,17.92,0
C1027,Does anyone know if the local train is running on schedule today? haha,456,0.49,0.095,14.98,0
C1028,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,1,11.07,0.997,33.71,1
C1029,This person is a traitor! Stop spreading lies about our great country!,20,21.56,0.845,57.6,1
C1030,"I don't agree with your opinion, but I appreciate the respectful debate here.",161,0.27,0.137,8.42,0
C1031,"Haha that is so funny, thanks for making my day! haha",556,0.97,0.153,12.59,0
C1032,"I'm not sure if this is correct, but let's see how it goes. !!",530,0.85,0.129,9.4,0
C1033,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,2,5.68,1.0,14.83,1
C1034,Can someone explain how to solve the 3rd question in the ML assignment?,59,0.74,0.082,10.41,0
C1035,That match last night was insane! What a finish in the last minute.,487,0.42,0.31,16.01,0
C1036,"I'm not sure if this is correct, but let's see how it goes. 👍",1144,0.08,0.035,1.0,0
C1037,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,43,8.15,0.661,25.85,1
C1038,Beautiful weather today. Going out for a cup of coffee.,787,0.78,0.37,8.15,0
C1039,This channel is biased and spreading fake propaganda. Ban them!,58,7.08,0.884,28.24,1
C1040,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,4,17.48,0.604,49.21,1
C1041,What a great performance by the team. Very happy with the result. ...,583,0.54,0.221,13.1,0
C1042,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",44,7.96,0.915,21.99,1
C1043,I absolutely love this new update! The UI looks clean and crisp.,1099,0.58,0.055,13.59,0
C1044,I absolutely love this new update! The UI looks clean and crisp.,403,0.31,0.169,13.49,0
C1045,"I don't agree with your opinion, but I appreciate the respectful debate here. 👍",324,0.82,0.207,8.48,0
C1046,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",184,0.46,0.105,12.57,0
C1047,I absolutely love this new update! The UI looks clean and crisp.,654,0.05,0.111,10.47,0
C1048,"I'm not sure if this is correct, but let's see how it goes.",1053,0.29,0.318,2.44,0
C1049,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,1,11.76,0.739,34.59,1
C1050,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,3,12.26,0.903,35.74,1
C1051,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,15,11.28,0.819,32.95,1
C1052,"Wow, that sunset is gorgeous! Thanks for sharing the photo. ...",966,0.67,0.133,7.44,0
C1053,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #JOINNOW",37,7.13,0.871,19.21,1
C1054,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,41,11.35,0.725,28.38,1
C1055,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,123,7.64,0.962,20.61,1
C1056,Can someone explain how to solve the 3rd question in the ML assignment? !!,774,0.57,0.121,18.78,0
C1057,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,62,9.3,0.669,23.39,1
C1058,Can someone explain how to solve the 3rd question in the ML assignment?,1367,0.17,0.362,7.8,0
C1059,Just finished reading this book. Highly recommend it to everyone.,1099,0.46,0.118,5.64,0
C1060,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",14,11.61,0.727,32.91,1
C1061,Beautiful weather today. Going out for a cup of coffee.,1183,0.56,0.181,6.52,0
C1062,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",33,18.79,0.718,50.73,1
C1063,Boycott this movie! It hurts community sentiments! #BoycottTrending,1,2.0,0.928,13.77,1
C1064,Beautiful weather today. Going out for a cup of coffee.,755,0.38,0.144,13.69,0
C1065,Don't listen to this fake news! The truth is hidden by mainstream media! #JOINNOW,21,13.02,0.858,40.51,1
C1066,I absolutely love this new update! The UI looks clean and crisp.,947,0.46,0.26,1.0,0
C1067,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #ALERT",103,9.94,0.738,25.43,1
C1068,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,60,8.94,0.796,17.75,1
C1069,What a great performance by the team. Very happy with the result.,1327,0.43,0.182,13.12,0
C1070,Can someone explain how to solve the 3rd question in the ML assignment?,1304,0.05,0.161,17.73,0
C1071,That match last night was insane! What a finish in the last minute.,760,0.21,0.09,10.04,0
C1072,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,46,9.12,0.615,25.02,1
C1073,"Haha that is so funny, thanks for making my day!",606,0.21,0.132,14.46,0
C1074,Struggling with coding errors all day... need a break lol. 😊,796,0.59,0.331,10.29,0
C1075,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,124,8.11,0.918,18.78,1
C1076,Does anyone know if the local train is running on schedule today? 👍,356,0.11,0.343,11.2,0
C1077,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",24,15.75,0.514,41.69,1
C1078,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,66,10.78,0.888,30.68,1
C1079,Unbelievable development! Best leader of all time! Truly visionary leadership!,99,12.73,0.5,33.59,1
C1080,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",897,0.17,0.051,7.15,0
C1081,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",16,8.82,0.818,25.63,1
C1082,Does anyone know if the local train is running on schedule today?,330,0.05,0.157,9.1,0
C1083,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,11,10.97,0.896,26.3,1
C1084,Can someone explain how to solve the 3rd question in the ML assignment?,818,0.67,0.336,9.59,0
C1085,"This recipe looks delicious, definitely trying it out this Sunday! haha",929,0.05,0.0,16.22,0
C1086,Boycott this movie! It hurts community sentiments! #BoycottTrending,6,22.05,0.795,60.56,1
C1087,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,36,5.92,0.833,18.03,1
C1088,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",171,0.91,0.089,14.52,0
C1089,"This recipe looks delicious, definitely trying it out this Sunday!",174,0.15,0.294,10.26,0
C1090,Boycott this movie! It hurts community sentiments! #BoycottTrending,20,13.42,0.964,40.77,1
C1091,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,9,9.81,0.803,24.45,1
C1092,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",865,1.16,0.199,11.71,0
C1093,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,26,16.23,0.824,49.17,1
C1094,What a great performance by the team. Very happy with the result.,1048,0.27,0.126,1.0,0
C1095,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,61,8.39,0.891,22.05,1
C1096,"This recipe looks delicious, definitely trying it out this Sunday!",776,0.65,0.179,2.02,0
C1097,This channel is biased and spreading fake propaganda. Ban them! #MUSTWATCH,35,15.76,0.692,37.93,1
C1098,"Honestly, I think the movie was slightly overrated, but the acting was top tier. ...",311,0.47,0.0,6.97,0
C1099,Can someone explain how to solve the 3rd question in the ML assignment? 👍,565,0.1,0.0,13.45,0
